age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml,viz_frameworks,ml_frameworks
45-49,Female,Argentina,Coursework,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"15,000-19,999",advance,5-10 years, Ggplot / ggplot2 ,
25-29,Male,Turkey,Doctoral,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",intermediate,5-10 years," Ggplot / ggplot2 , Matplotlib , Altair , Plotly / Plotly Express , Bokeh , Seaborn ","  Scikit-learn , Xgboost "
55-59,Male,United States of America,Bachelors,Software Engineer,"> 10,000 employees",I do not know,"150,000-199,999",basic,10-20 years,,
30-34,Male,Ireland,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,1-2 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , Xgboost , LightGBM "
22-24,Male,Russia,Masters,Student,,,,advance,< 1 years," Matplotlib , Seaborn ",
18-21,Male,India,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
55-59,Male,France,Masters,Research Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"125,000-149,999",intermediate,3-5 years, Matplotlib ,"  TensorFlow , PyTorch , Spark MLib "
30-34,Male,Singapore,Coursework,Other,,,,intermediate,,,
25-29,Male,India,Masters,Business Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,intermediate,3-5 years, Matplotlib ,"  Scikit-learn , RandomForest"
35-39,Male,Portugal,Masters,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,5-10 years," Matplotlib , D3.js , Geoplotlib , Leaflet / Folium ","  TensorFlow , Keras , PyTorch "
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,3-5 years," Matplotlib , D3.js ", Spark MLib 
22-24,Male,India,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , Keras , RandomForest, PyTorch "
45-49,Female,United States of America,Masters,Statistician,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","200,000-249,999",advance,10-20 years," Ggplot / ggplot2 , Shiny ", Caret 
22-24,Male,Pakistan,Bachelors,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest, Xgboost "
30-34,Male,United States of America,Coursework,Data Analyst,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,3-5 years," Matplotlib , Seaborn ",
40-44,Male,Brazil,Coursework,Statistician,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,5-10 years," Ggplot / ggplot2 , Shiny ",
35-39,Male,Israel,Bachelors,Other,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",intermediate,10-20 years,,"  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , LightGBM "
35-39,Male,Russia,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"30,000-39,999",basic,< 1 years,,
30-34,Male,Nigeria,Bachelors,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),"5,000-7,499",advance,< 1 years," Matplotlib , Seaborn ",
35-39,Female,India,Masters,Student,,,,advance,10-20 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost "
18-21,Male,India,Bachelors,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",intermediate,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , LightGBM "
25-29,Male,Japan,Bachelors,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"3,000-3,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , Keras , Xgboost , PyTorch , LightGBM "
35-39,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years," Ggplot / ggplot2 , Matplotlib ",  Scikit-learn 
35-39,Male,Other,Masters,Data Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , PyTorch , LightGBM "
35-39,Male,Italy,Doctoral,Other,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,10-20 years, Ggplot / ggplot2 ,
30-34,Female,Italy,Masters,Data Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,3-5 years," Matplotlib , Shiny , Seaborn ","  Scikit-learn , RandomForest, Xgboost , Caret "
18-21,Female,India,Bachelors,Student,,,,basic,3-5 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , Keras "
18-21,Male,India,Bachelors,Student,,,,basic,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
25-29,Male,France,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,3-5 years," Ggplot / ggplot2 , Plotly / Plotly Express ","  Scikit-learn , RandomForest, Xgboost , LightGBM "
18-21,Male,India,Masters,Student,,,,advance,< 1 years,,
30-34,Male,Ukraine,Bachelors,Software Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",basic,3-5 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , Xgboost , LightGBM "
22-24,Male,India,Masters,Student,,,,advance,< 1 years, Matplotlib ,  Scikit-learn 
25-29,Male,India,Masters,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Geoplotlib ","  Scikit-learn , Keras , RandomForest, PyTorch "
25-29,Male,Japan,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",advance,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , Keras , Xgboost , LightGBM "
45-49,Male,Italy,Coursework,Student,,,,advance,< 1 years, Ggplot / ggplot2 ," RandomForest, Xgboost , Caret "
35-39,Male,Russia,Coursework,Product/Project Manager,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,3-5 years," Matplotlib , D3.js , Seaborn , Leaflet / Folium ","  Scikit-learn , Xgboost , PyTorch , LightGBM , Spark MLib "
35-39,Female,Taiwan,Masters,Product/Project Manager,50-249 employees,No (we do not use ML methods),$0-999,basic,< 1 years," Matplotlib , Seaborn ",  Scikit-learn 
22-24,Female,United States of America,Bachelors,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years," Ggplot / ggplot2 , Shiny "," RandomForest, Xgboost , Caret , LightGBM "
70+,Male,Other,Doctoral,Research Scientist,0-49 employees,I do not know,$0-999,intermediate,3-5 years,,
22-24,Female,India,Coursework,Software Engineer,0-49 employees,I do not know,"1,000-1,999",basic,< 1 years," Ggplot / ggplot2 , Matplotlib ",
45-49,Male,Other,Doctoral,Research Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,20+ years, Matplotlib , PyTorch 
30-34,Male,Egypt,Masters,Data Scientist,0-49 employees,No (we do not use ML methods),$0-999,basic,1-2 years, Matplotlib ,"  TensorFlow , Keras "
25-29,Male,Brazil,Masters,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn , Geoplotlib ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
22-24,Male,Brazil,Bachelors,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost , LightGBM "
30-34,Male,Russia,Doctoral,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",advance,5-10 years, Matplotlib ,"  TensorFlow , Keras , PyTorch "
40-44,Male,United States of America,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,20+ years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ",  Scikit-learn 
35-39,Male,India,Masters,Software Engineer,"> 10,000 employees",I do not know,"15,000-19,999",basic,I have never written code,,
50-54,Female,Brazil,Doctoral,Product/Project Manager,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",basic,20+ years," Ggplot / ggplot2 , Plotly / Plotly Express ","  TensorFlow , Keras , RandomForest, PyTorch , Spark MLib "
22-24,Female,Other,Masters,Student,,,,advance,< 1 years, Ggplot / ggplot2 , Caret 
25-29,Female,Ukraine,Bachelors,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,< 1 years,, PyTorch 
30-34,Male,Brazil,Coursework,Student,,,,intermediate,< 1 years," Matplotlib , Seaborn , Geoplotlib ",  Scikit-learn 
18-21,Male,India,Masters,Student,,,,advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Bokeh , Seaborn ","  Scikit-learn , Keras , RandomForest, Xgboost "
22-24,Male,Bangladesh,Bachelors,Student,,,,advance,1-2 years, Matplotlib ,"  TensorFlow , Keras "
25-29,Female,United States of America,Masters,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,5-10 years, Ggplot / ggplot2 ,"  Scikit-learn , RandomForest, Caret "
25-29,Male,Morocco,Doctoral,Statistician,"> 10,000 employees",I do not know,$0-999,advance,3-5 years," Ggplot / ggplot2 , Matplotlib ", RandomForest
25-29,Male,Canada,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,5-10 years," Matplotlib , Bokeh ","  Scikit-learn , Keras , RandomForest, Xgboost , PyTorch "
30-34,Female,United States of America,Doctoral,Student,,,,advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ",  Scikit-learn 
25-29,Female,Canada,Masters,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , PyTorch "
22-24,Male,United States of America,Masters,Business Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",basic,< 1 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
25-29,Female,United States of America,Doctoral,Student,,,,intermediate,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , Xgboost "
25-29,Male,Brazil,Bachelors,Other,"1000-9,999 employees",No (we do not use ML methods),"10,000-14,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn , Keras , PyTorch "
55-59,Male,United States of America,Doctoral,Other,"1000-9,999 employees",No (we do not use ML methods),"10,000-14,999",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest"
25-29,Male,Hungary,Coursework,Data Analyst,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",basic,3-5 years," Matplotlib , Plotly / Plotly Express , Bokeh , Seaborn , Leaflet / Folium ","  Scikit-learn , Xgboost , PyTorch "
25-29,Male,Belarus,Doctoral,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",advance,5-10 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn , Xgboost , PyTorch , LightGBM "
22-24,Male,Spain,Masters,Data Analyst,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,3-5 years, Ggplot / ggplot2 ,
22-24,Male,United States of America,Bachelors,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",basic,1-2 years," Ggplot / ggplot2 , Matplotlib , Shiny , Seaborn ", Caret 
22-24,Male,India,Masters,Student,,,,basic,1-2 years,,
22-24,Female,India,Masters,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,5-10 years," Ggplot / ggplot2 , Matplotlib , D3.js , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, Xgboost , Caret , LightGBM "
18-21,Male,Canada,Bachelors,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years," Ggplot / ggplot2 , Shiny , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , Caret "
18-21,Female,Nigeria,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost "
25-29,Male,India,Masters,Business Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years," Shiny , Plotly / Plotly Express ", RandomForest
